thr,precision,recall,coverage,F1,alerts,Fbeta
0.009624173342652831,0.12586716365421088,0.4329849936881034,0.4350823982249807,0.19503760464854353,4643443,0.14667451732126377
0.00976540887462654,0.12583573874559678,0.4253107053322191,0.42747766234155626,0.19421076694576034,4562281,0.14646137273842547
0.009914969223935526,0.12576937406560454,0.4118890350799211,0.4142060574032847,0.1926986549278213,4420639,0.14606180790345383
0.010128947860213044,0.1257160731534371,0.4061216506943086,0.40857938488984835,0.19199848697643956,4360588,0.14585744796879385
0.010167643754241154,0.12569973455571828,0.3966693632985438,0.3991217664740231,0.19090422415042524,4259651,0.14559068536334463
0.010814563893243001,0.12565207382593,0.386582182078955,0.38911976133186416,0.18965874430465135,4152904,0.14526139540642827
0.010948613442020298,0.12564815819300224,0.38526127695891044,0.3878022704955512,0.18949491452855197,4138843,0.145219791966626
0.010963171381198815,0.12554307458377423,0.37452216275803213,0.37730788114566705,0.18805011946979105,4026841,0.14479473106677612
0.011345464571271023,0.12547215005386225,0.3667263778010893,0.3696629487208317,0.18697311958530577,3945250,0.14448189089706795
0.011768447837150128,0.12543490474368574,0.35776452180715823,0.36073641188243494,0.18574591047793448,3849981,0.14415792086762338
0.012263013774987631,0.12525679876248616,0.34228926266379817,0.3456233555960332,0.1834003570097398,3688686,0.14344773808388375
0.012693050193050193,0.12522712515482706,0.3400460205418156,0.3434396246074044,0.18304510357687773,3665380,0.14333736463978805
0.013057240833553153,0.1250783815419367,0.32702440007349065,0.3306808300913745,0.1809485999610989,3529211,0.14270293112754157
0.013221970554926387,0.1250298040042826,0.3232157779634799,0.3269566064749226,0.18031011122278942,3489464,0.1425058441222476
0.013357123386117513,0.12493916964091796,0.31877374369551176,0.3226970848606145,0.17951844827399185,3444004,0.14223698400248372
0.014103210873048846,0.12466922690282796,0.3041074741152973,0.30851688816928646,0.17684190210569875,3292665,0.1413498936537412
0.014996490968861968,0.12458783344745565,0.30099745746137296,0.3055612711476909,0.17623081389031725,3261121,0.14113070742645917
0.015509788965166535,0.12455079001761075,0.29927946588908844,0.3039075910559416,0.1758982205401602,3243472,0.14101678893471808
0.015656741377568766,0.1242368051956893,0.28932637543042394,0.2945431086824529,0.17383068041940097,3143529,0.14024111552269514
0.015913165197318335,0.12410501578529418,0.284816925365527,0.2902602562084448,0.1728799825166178,3097819,0.13989224452868154
0.01612072721511466,0.12398456789818996,0.27933920665682843,0.2849544064404417,0.17174167762652232,3041193,0.13950131280206213
0.017099503939305514,0.12393007576560347,0.2772559844484351,0.28295366809837563,0.17129386370418645,3019840,0.13934159255448875
0.017479269173863676,0.12373936603188625,0.2708455570767325,0.27683751602239764,0.16987094824199533,2954565,0.13881889646579018
0.017728277645684718,0.12343199706053237,0.26031609859597343,0.2667376899263157,0.16746056217810298,2846774,0.13793867720693717
0.018432230856637356,0.12290468230893933,0.24578095644495018,0.2529245092086622,0.1638665963315078,2699352,0.13655900434995935
0.019114097462326313,0.12283414895671542,0.24407926319719786,0.25131758453454467,0.16342421715689898,2682202,0.13638373194333137
0.01934247211895911,0.12270566852080564,0.2403180543949173,0.2477039248315306,0.1624598375296453,2643635,0.1360193224431442
0.019578550086491592,0.12259898045456996,0.23751622424123892,0.245029027712189,0.16172184097581815,2615087,0.13573332497895882
0.019709945345784734,0.12239444126660336,0.2323866970111836,0.2401378863178094,0.16034020340847463,2562886,0.13519215306873944
0.02067639044718705,0.1222811409166532,0.23027235981959238,0.23817350288965347,0.15973727006827002,2541921,0.1349375160407852
0.020686723657488307,0.12197738102899683,0.223253708609664,0.23148907103825136,0.15776043061313005,2470581,0.1341483326976584
0.0207101664792717,0.1215520286637061,0.2141310918692104,0.22280689918819852,0.15507523032648093,2377920,0.13305744172634526
0.020833333333333332,0.12148291023989746,0.21276870010490195,0.22151526906384222,0.15466050182998395,2364135,0.13288548645188228
0.021408786937426354,0.12037275351939303,0.19125491172234768,0.20095347320605367,0.14775248102743727,2144688,0.13000947567145527
0.021592408078583047,0.11856886367499575,0.1653635415370209,0.17639254311992625,0.13811010545750638,1882560,0.12568197645244317
0.022069968140060008,0.11802146959688993,0.158288587024163,0.16962884256448313,0.13522093180001557,1810374,0.12434806353569552
0.022825436110334916,0.11676055628096317,0.14415201299124633,0.15614772838007002,0.1290184621831578,1666496,0.12137317024243073
0.023778971214929574,0.11610853888516455,0.13729264086197393,0.14955268464173543,0.12581510430280024,1596110,0.11980571668542299
0.02685615014382137,0.1157790948573691,0.13344549543943246,0.14577561522258953,0.12398614965217537,1555799,0.11892799023059202
